date,site,forecast,horizon,PRES,TSOIL,SOILW,WEASD,SNOD,ICETK
2025-06-01,PUUM,gec00,f000,80988.875,292.1920166015625,0.1720000058412552,0,0,0
2025-06-01,RMNP,gec00,f000,74584.078125,282.4920349121094,0.26100000739097595,0,0,0
2025-06-01,SCBI,gec00,f000,98422.4765625,286.2920227050781,0.30000001192092896,0,0,0
2025-06-01,SERC,gec00,f000,100712.078125,NA,NA,NA,NA,0
2025-06-01,SJER,gec00,f000,94004.875,297.1920166015625,0.06000000238418579,0,0,0
2025-06-01,SOAP,gec00,f000,94004.875,297.1920166015625,0.06000000238418579,0,0,0
2025-06-01,SRER,gec00,f000,90019.2734375,300.1920166015625,0.07100000232458115,0,0,0
2025-06-01,STEI,gec00,f000,95779.2734375,282.6920166015625,0.2070000171661377,0,0,0
2025-06-01,STER,gec00,f000,87059.2734375,289.0920104980469,0.13600000739097595,0,0,0
2025-06-01,TALL,gec00,f000,100289.6796875,292.5920104980469,0.2840000092983246,0,0,0
2025-06-01,TEAK,gec00,f000,80353.6796875,288.0920104980469,0.14500001072883606,0,0,0
2025-06-01,TOOL,gec00,f000,89681.6796875,266.4920349121094,0.3270000219345093,26,0.25999999046325684,0
2025-06-01,TREE,gec00,f000,95779.2734375,282.6920166015625,0.2070000171661377,0,0,0
2025-06-01,UKFS,gec00,f000,97670.4765625,290.4920349121094,0.24000000953674316,0,0,0
2025-06-01,UNDE,gec00,f000,95398.4765625,282.39202880859375,0.17600001394748688,0,0,0
2025-06-01,WOOD,gec00,f000,95062.4765625,290.6920166015625,0.193000003695488,0,0,0
2025-06-01,WREF,gec00,f000,93003.2734375,284.2920227050781,0.24700000882148743,0,0,0
2025-06-01,YELL,gec00,f000,76116.875,283.89202880859375,0.2550000250339508,0,0,0
2025-06-02,ABBY,gec00,f000,97576.8984375,284.2380065917969,0.20500001311302185,0,0,0
2025-06-02,BARR,gec00,f000,102548.1015625,NA,NA,33,0.09999999403953552,1.25
2025-06-02,BART,gec00,f000,94978.5,281.03802490234375,0.2900000214576721,0,0,0
2025-06-02,BLAN,gec00,f000,99199.3046875,285.7380065917969,0.289000004529953,0,0,0
2025-06-02,BONA,gec00,f000,97364.1015625,281.6380310058594,0.2290000170469284,0,0,0
2025-06-02,CLBJ,gec00,f000,97888.8984375,295.4380187988281,0.2670000195503235,0,0,0
2025-06-02,CPER,gec00,f000,82752.8984375,288.6380310058594,0.21000000834465027,0,0,0
2025-06-02,DCFS,gec00,f000,94868.1015625,291.8380126953125,0.1830000132322311,0,0,0
2025-06-02,DEJU,gec00,f000,95309.703125,282.03802490234375,0.19600000977516177,0,0,0
2025-06-02,DELA,gec00,f000,101016.8984375,293.03802490234375,0.2710000276565552,0,0,0
2025-06-02,DSNY,gec00,f000,101271.3046875,296.9380187988281,0.16100001335144043,0,0,0
2025-06-02,GRSM,gec00,f000,91522.5,286.6380310058594,0.2980000078678131,0,0,0
2025-06-02,GUAN,gec00,f000,100791.3046875,299.8380126953125,0.1830000132322311,0,0,0
2025-06-02,HARV,gec00,f000,98162.5,283.1380310058594,0.2900000214576721,0,0,0
2025-06-02,HEAL,gec00,f000,93832.8984375,279.4380187988281,0.24300001561641693,0,0,0
2025-06-02,JERC,gec00,f000,100920.8984375,295.03802490234375,0.1210000067949295,0,0,0
2025-06-02,JORN,gec00,f000,85996.1015625,299.6380310058594,0.0820000022649765,0,0,0
2025-06-02,KONA,gec00,f000,96733.703125,291.53802490234375,0.24800001084804535,0,0,0
2025-06-02,KONZ,gec00,f000,96733.703125,291.53802490234375,0.24800001084804535,0,0,0
2025-06-02,LAJA,gec00,f000,100791.3046875,299.8380126953125,0.1830000132322311,0,0,0
2025-06-02,LENO,gec00,f000,100877.703125,293.6380310058594,0.2680000066757202,0,0,0
2025-06-02,MLBS,gec00,f000,93682.5,284.7380065917969,0.27800002694129944,0,0,0
2025-06-02,MOAB,gec00,f000,79511.3046875,292.03802490234375,0.10500000417232512,0,0,0
2025-06-02,NIWO,gec00,f000,73914.5,280.03802490234375,0.25699999928474426,0,0,0
2025-06-02,NOGP,gec00,f000,94260.1015625,290.9380187988281,0.21300001442432404,0,0,0
2025-06-02,OAES,gec00,f000,95186.5,295.03802490234375,0.193000003695488,0,0,0
2025-06-02,ONAQ,gec00,f000,81850.5,293.4380187988281,0.1330000013113022,0,0,0
2025-06-02,ORNL,gec00,f000,97077.703125,289.4380187988281,0.3060000240802765,0,0,0
2025-06-02,OSBS,gec00,f000,101239.3046875,296.3380126953125,0.11400000751018524,0,0,0
2025-06-02,PUUM,gec00,f000,80920.8984375,291.9380187988281,0.15000000596046448,0,0,0
2025-06-02,RMNP,gec00,f000,74333.703125,282.8380126953125,0.2540000081062317,0,0,0
2025-06-02,SCBI,gec00,f000,99199.3046875,285.7380065917969,0.289000004529953,0,0,0
2025-06-02,SERC,gec00,f000,101503.3046875,NA,NA,NA,NA,0
2025-06-02,SJER,gec00,f000,93960.8984375,296.4380187988281,0.05900000408291817,0,0,0
2025-06-02,SOAP,gec00,f000,93960.8984375,296.4380187988281,0.05900000408291817,0,0,0
2025-06-02,SRER,gec00,f000,89940.1015625,294.6380310058594,0.2160000056028366,0,0,0
2025-06-02,STEI,gec00,f000,95700.1015625,285.6380310058594,0.20600001513957977,0,0,0
2025-06-02,STER,gec00,f000,86647.3046875,291.9380187988281,0.1170000061392784,0,0,0
2025-06-02,TALL,gec00,f000,100592.8984375,292.9380187988281,0.27900001406669617,0,0,0
2025-06-02,TEAK,gec00,f000,80143.3046875,287.3380126953125,0.1469999998807907,0,0,0
2025-06-02,TOOL,gec00,f000,89626.5,266.4380187988281,0.32600000500679016,26,0.25,0
2025-06-02,TREE,gec00,f000,95700.1015625,285.6380310058594,0.20600001513957977,0,0,0
2025-06-02,UKFS,gec00,f000,97932.1015625,292.03802490234375,0.22100001573562625,0,0,0
2025-06-02,UNDE,gec00,f000,95261.703125,285.4380187988281,0.17400000989437103,0,0,0
2025-06-02,WOOD,gec00,f000,94868.1015625,291.8380126953125,0.1830000132322311,0,0,0
2025-06-02,WREF,gec00,f000,93044.1015625,283.53802490234375,0.2370000183582306,0,0,0
2025-06-02,YELL,gec00,f000,75848.8984375,283.4380187988281,0.30000001192092896,0,0,0
2025-06-04,ABBY,gec00,f000,97208.7734375,284.738037109375,0.2070000171661377,0,0,0
2025-06-04,BARR,gec00,f000,101640.7734375,NA,NA,25,0.07999999821186066,1.25
2025-06-04,BART,gec00,f000,96037.578125,284.93804931640625,0.27300000190734863,0,0,0
2025-06-04,BLAN,gec00,f000,99675.9765625,288.43804931640625,0.2680000066757202,0,0,0
2025-06-04,BONA,gec00,f000,96834.375,282.43804931640625,0.21000000834465027,0,0,0
2025-06-04,CLBJ,gec00,f000,98074.375,295.0380554199219,0.3410000205039978,0,0,0
2025-06-04,CPER,gec00,f000,83187.9765625,285.43804931640625,0.1730000078678131,0,0,0
2025-06-04,DCFS,gec00,f000,95587.9765625,285.6380310058594,0.17000000178813934,0,0,0
2025-06-04,DEJU,gec00,f000,94744.7734375,282.1380310058594,0.17800000309944153,0,0,0
2025-06-04,DELA,gec00,f000,101138.375,294.93804931640625,0.24400001764297485,0,0,0
2025-06-04,DSNY,gec00,f000,101293.578125,296.6380310058594,0.15800000727176666,0,0,0
2025-06-04,GRSM,gec00,f000,92042.375,288.5380554199219,0.29200002551078796,0,0,0
2025-06-04,GUAN,gec00,f000,100557.578125,298.5380554199219,0.17800000309944153,0,0,0
2025-06-04,HARV,gec00,f000,99067.9765625,286.3380432128906,0.27800002694129944,0,0,0
2025-06-04,HEAL,gec00,f000,93338.375,279.3380432128906,0.2190000116825104,0,0,0
2025-06-04,JERC,gec00,f000,101024.7734375,297.43804931640625,0.11000000685453416,0,0,0
2025-06-04,JORN,gec00,f000,85960.7734375,298.43804931640625,0.10000000149011612,0,0,0
2025-06-04,KONA,gec00,f000,97075.9765625,289.238037109375,0.3440000116825104,0,0,0
2025-06-04,KONZ,gec00,f000,97075.9765625,289.238037109375,0.3440000116825104,0,0,0
2025-06-04,LAJA,gec00,f000,100557.578125,298.5380554199219,0.17800000309944153,0,0,0
2025-06-04,LENO,gec00,f000,100957.578125,295.738037109375,0.2510000169277191,0,0,0
2025-06-04,MLBS,gec00,f000,94274.375,287.5380554199219,0.27800002694129944,0,0,0
2025-06-04,MOAB,gec00,f000,79578.375,289.1380310058594,0.11900000274181366,0,0,0
2025-06-04,NIWO,gec00,f000,73885.578125,278.5380554199219,0.27000001072883606,0,0,0
2025-06-04,NOGP,gec00,f000,94810.375,284.93804931640625,0.20200000703334808,0,0,0
2025-06-04,OAES,gec00,f000,95576.7734375,292.8380432128906,0.20900000631809235,0,0,0
2025-06-04,ONAQ,gec00,f000,81963.9765625,288.3380432128906,0.1340000033378601,0,0,0
2025-06-04,ORNL,gec00,f000,97472.7734375,291.738037109375,0.30000001192092896,0,0,0
2025-06-04,OSBS,gec00,f000,101275.9765625,297.238037109375,0.10000000149011612,0,0,0
2025-06-04,PUUM,gec00,f000,80968.7734375,291.238037109375,0.15300001204013824,0,0,0
2025-06-04,RMNP,gec00,f000,74371.9765625,280.43804931640625,0.2550000250339508,0,0,0
2025-06-04,SCBI,gec00,f000,99675.9765625,288.43804931640625,0.2680000066757202,0,0,0
2025-06-04,SERC,gec00,f000,102082.375,NA,NA,NA,NA,0
2025-06-04,SJER,gec00,f000,93931.9765625,294.238037109375,0.05800000205636024,0,0,0
2025-06-04,SOAP,gec00,f000,93931.9765625,294.238037109375,0.05800000205636024,0,0,0
2025-06-04,SRER,gec00,f000,89760.7734375,298.1380310058594,0.17600001394748688,0,0,0
2025-06-04,STEI,gec00,f000,95895.1796875,285.238037109375,0.2680000066757202,0,0,0
2025-06-04,STER,gec00,f000,87322.375,285.8380432128906,0.18700000643730164,0,0,0
2025-06-04,TALL,gec00,f000,100701.578125,294.8380432128906,0.2639999985694885,0,0,0
2025-06-04,TEAK,gec00,f000,80075.9765625,286.3380432128906,0.1420000046491623,0,0,0
2025-06-04,TOOL,gec00,f000,88835.9765625,267.5380554199219,0.3330000042915344,17,0.10999999940395357,0
2025-06-04,TREE,gec00,f000,95895.1796875,285.238037109375,0.2680000066757202,0,0,0
2025-06-04,UKFS,gec00,f000,98122.375,290.3380432128906,0.2970000207424164,0,0,0
2025-06-04,UNDE,gec00,f000,95488.7734375,284.93804931640625,0.26200002431869507,0,0,0
2025-06-04,WOOD,gec00,f000,95587.9765625,285.6380310058594,0.17000000178813934,0,0,0
2025-06-04,WREF,gec00,f000,92714.375,284.738037109375,0.2330000102519989,0,0,0
2025-06-04,YELL,gec00,f000,76144.7734375,279.738037109375,0.2540000081062317,0,0,0
2025-06-05,ABBY,gec00,f000,96997.2421875,283.7380065917969,0.2070000171661377,0,0,0
2025-06-05,BARR,gec00,f000,101195.6484375,NA,NA,21,0.05999999865889549,1.25
2025-06-05,BART,gec00,f000,95645.2421875,288.3380126953125,0.2680000066757202,0,0,0
2025-06-05,BLAN,gec00,f000,99341.2421875,290.8380126953125,0.2770000100135803,0,0,0
2025-06-05,BONA,gec00,f000,96024.4453125,282.7380065917969,0.2070000171661377,0,0,0
2025-06-05,CLBJ,gec00,f000,98242.046875,293.4380187988281,0.3020000159740448,0,0,0
2025-06-05,CPER,gec00,f000,82998.84375,287.03802490234375,0.2340000122785568,0,0,0
2025-06-05,DCFS,gec00,f000,95888.4453125,285.7380065917969,0.1850000023841858,0,0,0
2025-06-05,DEJU,gec00,f000,93936.4453125,282.03802490234375,0.17500001192092896,0,0,0
2025-06-05,DELA,gec00,f000,101030.84375,295.2380065917969,0.24900001287460327,0,0,0
2025-06-05,DSNY,gec00,f000,101459.6484375,297.3380126953125,0.1420000046491623,0,0,0
2025-06-05,GRSM,gec00,f000,91749.2421875,289.6380310058594,0.2930000126361847,0,0,0
2025-06-05,GUAN,gec00,f000,100520.4453125,298.3380126953125,0.1710000038146973,0,0,0
2025-06-05,HARV,gec00,f000,98571.6484375,288.9380187988281,0.27300000190734863,0,0,0
2025-06-05,HEAL,gec00,f000,92634.046875,278.9380187988281,0.22100001573562625,0,0,0
2025-06-05,JERC,gec00,f000,101035.6484375,295.9380187988281,0.17600001394748688,0,0,0
2025-06-05,JORN,gec00,f000,85955.6484375,296.53802490234375,0.11600000411272048,0,0,0
2025-06-05,KONA,gec00,f000,97192.4453125,288.6380310058594,0.3100000023841858,0,0,0
2025-06-05,KONZ,gec00,f000,97192.4453125,288.6380310058594,0.3100000023841858,0,0,0
2025-06-05,LAJA,gec00,f000,100520.4453125,298.3380126953125,0.1710000038146973,0,0,0
2025-06-05,LENO,gec00,f000,100888.4453125,295.53802490234375,0.26100000739097595,0,0,0
2025-06-05,MLBS,gec00,f000,93958.84375,289.3380126953125,0.2760000228881836,0,0,0
2025-06-05,MOAB,gec00,f000,79650.046875,288.03802490234375,0.2080000042915344,0,0,0
2025-06-05,NIWO,gec00,f000,73883.6484375,278.7380065917969,0.2639999985694885,0,0,0
2025-06-05,NOGP,gec00,f000,95070.84375,284.8380126953125,0.23100000619888303,0,0,0
2025-06-05,OAES,gec00,f000,95568.4453125,292.6380310058594,0.20500001311302185,0,0,0
2025-06-05,ONAQ,gec00,f000,81914.046875,288.6380310058594,0.125,0,0,0
2025-06-05,ORNL,gec00,f000,97222.84375,292.3380126953125,0.29500001668930054,0,0,0
2025-06-05,OSBS,gec00,f000,101466.046875,296.7380065917969,0.12600000202655792,0,0,0
2025-06-05,PUUM,gec00,f000,80851.6484375,291.1380310058594,0.15000000596046448,0,0,0
2025-06-05,RMNP,gec00,f000,74344.4453125,280.2380065917969,0.24700000882148743,0,0,0
2025-06-05,SCBI,gec00,f000,99341.2421875,290.8380126953125,0.2770000100135803,0,0,0
2025-06-05,SERC,gec00,f000,101710.84375,NA,NA,NA,NA,0
2025-06-05,SJER,gec00,f000,93875.6484375,294.53802490234375,0.05500000342726707,0,0,0
2025-06-05,SOAP,gec00,f000,93875.6484375,294.53802490234375,0.05500000342726707,0,0,0
2025-06-05,SRER,gec00,f000,89795.6484375,297.7380065917969,0.15900000929832458,0,0,0
2025-06-05,STEI,gec00,f000,96432.4453125,285.9380187988281,0.24300001561641693,0,0,0
2025-06-05,STER,gec00,f000,87114.046875,287.4380187988281,0.17900000512599945,0,0,0
2025-06-05,TALL,gec00,f000,100619.6484375,294.8380126953125,0.27400001883506775,0,0,0
2025-06-05,TEAK,gec00,f000,80042.046875,285.9380187988281,0.14100000262260437,0,0,0
2025-06-05,TOOL,gec00,f000,88490.046875,267.4380187988281,0.33100003004074097,24,0.2199999988079071,0
2025-06-05,TREE,gec00,f000,96432.4453125,285.9380187988281,0.24300001561641693,0,0,0
2025-06-05,UKFS,gec00,f000,98358.84375,289.8380126953125,0.26600000262260437,0,0,0
2025-06-05,UNDE,gec00,f000,96029.2421875,285.8380126953125,0.23200000822544095,0,0,0
2025-06-05,WOOD,gec00,f000,95888.4453125,285.7380065917969,0.1850000023841858,0,0,0
2025-06-05,WREF,gec00,f000,92533.2421875,283.2380065917969,0.23600001633167267,0,0,0
2025-06-05,YELL,gec00,f000,76158.84375,280.3380126953125,0.2580000162124634,0,0,0
2025-06-06,ABBY,gec00,f000,96784.3671875,285.7380065917969,0.20000000298023224,0,0,0
2025-06-06,BARR,gec00,f000,101579.5625,NA,NA,17,0.04999999701976776,1.25
2025-06-06,BART,gec00,f000,95448.3671875,289.8380126953125,0.2639999985694885,0,0,0
2025-06-06,BLAN,gec00,f000,98944.3671875,292.2380065917969,0.2670000195503235,0,0,0
2025-06-06,BONA,gec00,f000,97070.765625,280.1380310058594,0.2460000067949295,0,0,0
2025-06-06,CLBJ,gec00,f000,97993.9609375,296.03802490234375,0.2639999985694885,0,0,0
2025-06-06,CPER,gec00,f000,83336.3671875,285.03802490234375,0.22700001299381256,0,0,0
2025-06-06,DCFS,gec00,f000,95875.5625,284.53802490234375,0.1850000023841858,0,0,0
2025-06-06,DEJU,gec00,f000,95017.9609375,279.9380187988281,0.2290000170469284,1,0,0
2025-06-06,DELA,gec00,f000,101041.9609375,296.2380065917969,0.2639999985694885,0,0,0
2025-06-06,DSNY,gec00,f000,101478.765625,298.7380065917969,0.13900001347064972,0,0,0
2025-06-06,GRSM,gec00,f000,91633.9609375,289.8380126953125,0.2970000207424164,0,0,0
2025-06-06,GUAN,gec00,f000,100577.9609375,298.3380126953125,0.18700000643730164,0,0,0
2025-06-06,HARV,gec00,f000,98323.5625,291.6380310058594,0.27400001883506775,0,0,0
2025-06-06,HEAL,gec00,f000,93629.1640625,277.4380187988281,0.2710000276565552,0,0,0
2025-06-06,JERC,gec00,f000,101064.3671875,297.53802490234375,0.15000000596046448,0,0,0
2025-06-06,JORN,gec00,f000,86045.1640625,296.8380126953125,0.09200000762939453,0,0,0
2025-06-06,KONA,gec00,f000,96811.5625,290.1380310058594,0.2930000126361847,0,0,0
2025-06-06,KONZ,gec00,f000,96811.5625,290.1380310058594,0.2930000126361847,0,0,0
2025-06-06,LAJA,gec00,f000,100577.9609375,298.3380126953125,0.18700000643730164,0,0,0
2025-06-06,LENO,gec00,f000,100928.3671875,296.4380187988281,0.2540000081062317,0,0,0
2025-06-06,MLBS,gec00,f000,93629.1640625,290.03802490234375,0.26500001549720764,0,0,0
2025-06-06,MOAB,gec00,f000,79814.765625,288.03802490234375,0.18400001525878906,0,0,0
2025-06-06,NIWO,gec00,f000,74113.9609375,279.4380187988281,0.2750000059604645,0,0,0
2025-06-06,NOGP,gec00,f000,95030.765625,284.8380126953125,0.2240000069141388,0,0,0
2025-06-06,OAES,gec00,f000,95361.9609375,295.1380310058594,0.2540000081062317,0,0,0
2025-06-06,ONAQ,gec00,f000,82128.3671875,289.7380065917969,0.11700000613927841,0,0,0
2025-06-06,ORNL,gec00,f000,97072.3671875,292.9380187988281,0.29200002551078796,0,0,0
2025-06-06,OSBS,gec00,f000,101470.765625,298.1380310058594,0.1290000081062317,0,0,0
2025-06-06,PUUM,gec00,f000,80800.3671875,290.4380187988281,0.13700000941753387,0,0,0
2025-06-06,RMNP,gec00,f000,74582.765625,280.6380310058594,0.27900001406669617,1,0,0
2025-06-06,SCBI,gec00,f000,98944.3671875,292.2380065917969,0.2670000195503235,0,0,0
2025-06-06,SERC,gec00,f000,101254.765625,NA,NA,NA,NA,0
2025-06-06,SJER,gec00,f000,93990.765625,294.8380126953125,0.05400000140070915,0,0,0
2025-06-06,SOAP,gec00,f000,93990.765625,294.8380126953125,0.05400000140070915,0,0,0
2025-06-06,SRER,gec00,f000,89848.3671875,298.2380065917969,0.1550000011920929,0,0,0
2025-06-06,STEI,gec00,f000,96224.3671875,286.9380187988281,0.23500001430511475,0,0,0
2025-06-06,STER,gec00,f000,87406.765625,286.2380065917969,0.17900000512599945,0,0,0
2025-06-06,TALL,gec00,f000,100565.1640625,295.9380187988281,0.2710000276565552,0,0,0
2025-06-06,TEAK,gec00,f000,80160.3671875,286.03802490234375,0.13900001347064972,0,0,0
2025-06-06,TOOL,gec00,f000,88901.1640625,267.03802490234375,0.3290000259876251,27,0.26999998092651367,0
2025-06-06,TREE,gec00,f000,96224.3671875,286.9380187988281,0.23500001430511475,0,0,0
2025-06-06,UKFS,gec00,f000,97977.9609375,291.1380310058594,0.25300002098083496,0,0,0
2025-06-06,UNDE,gec00,f000,95832.3671875,286.7380065917969,0.22100001573562622,0,0,0
2025-06-06,WOOD,gec00,f000,95875.5625,284.53802490234375,0.1850000023841858,0,0,0
2025-06-06,WREF,gec00,f000,92400.3671875,286.7380065917969,0.2290000170469284,0,0,0
2025-06-06,YELL,gec00,f000,76197.1640625,279.53802490234375,0.2510000169277191,0,0,0
